Year,Week,Day,Date,Status,OT,Rec,Away,Opp,TmScore,OppScore,Tm1stD,TmTotYd,TmPassY,TmRushY,TmTO,Opp1stD,OppTotYd,OppPassY,OppRushY,OppTO,ABRV
2007,8,Sun,28-Oct,W,,,@,New York Jets,13,3,19,347,239,108,1,14,254,154,100,3,nyj
2007,10,Sun,11-Nov,W,,,@,Miami Dolphins,13,10,15,214,151,63,1,15,269,126,143,,mia
2007,12,Sun,25-Nov,L,,,@,Jacksonville Jaguars,14,36,20,297,203,94,3,21,416,292,124,1,jac
2007,13,Sun,2-Dec,W,,,@,Washington Redskins,17,16,15,357,257,100,1,22,281,202,79,2,was
2007,15,Sun,16-Dec,L,,,@,Cleveland Browns,0,8,11,232,124,108,,16,304,130,174,,cle
2007,17,Sun,30-Dec,L,,,@,Philadelphia Eagles,9,17,13,271,133,138,,20,391,322,69,2,phi
2008,2,Sun,14-Sep,W,,Feb-00,@,Jacksonville Jaguars,20,16,18,285,210,75,1,18,243,145,98,2,jac
2008,4,Sun,28-Sep,W,,Apr-00,@,St. Louis Rams,31,14,14,277,166,111,1,16,380,213,167,2,stl
2008,5,Sun,5-Oct,L,,1-Apr,@,Arizona Cardinals,17,41,13,287,203,84,4,28,373,250,123,,ari
2008,8,Sun,26-Oct,L,,2-May,@,Miami Dolphins,16,25,19,339,220,119,4,19,358,306,52,1,mia
2008,10,Sun,9-Nov,L,,4-May,@,New England Patriots,10,20,10,168,108,60,2,24,370,226,144,1,ne
2008,12,Sun,23-Nov,W,,5-Jun,@,Kansas City Chiefs,54,31,27,444,273,171,,21,462,303,159,5,kc
2008,15,Sun,14-Dec,L,,8-Jun,@,New York Jets,27,31,23,306,119,187,4,18,372,207,165,2,nyj
2008,16,Sun,21-Dec,W,,8-Jul,@,Denver Broncos,30,23,20,275,188,87,,27,532,351,181,2,den
